file_path,dataset,speaker_id,ground_truth_raw,ground_truth_4class,e2v_raw,e2v_4class,e2v_correct,e2v_conf_top,mean_f0,std_f0,min_f0,max_f0,energy,speech_rate
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_DFA_ANG_XX.wav,cremad,1001,angry,angry,ANGRY,angry,True,,162.4754912237851,78.99867144672238,96.09778146229951,513.709087324126,0.041986193507909775,0.3705357142857143
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_DFA_HAP_XX.wav,cremad,1001,happy,happy,HAPPY,happy,True,,194.418705237183,89.15736488402655,117.66297050449826,506.00301620619655,0.042300183326005936,0.34972677595628415
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_DFA_NEU_XX.wav,cremad,1001,neutral,neutral,NEUTRAL,neutral,True,,138.48618862337912,38.83049767432091,75.83876144877655,234.7894564409648,0.02044963650405407,0.255
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_DFA_SAD_XX.wav,cremad,1001,sad,sad,DISGUSTED,disgusted,False,,127.24333073138486,50.7847925177857,77.27180632422126,239.1939851834149,0.012454680167138577,0.18781725888324874
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_ANG_HI.wav,cremad,1001,angry,angry,ANGRY,angry,True,,186.69515159217033,70.86728225093708,140.385906420234,371.92387391749344,0.04982936009764671,0.33157894736842103
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_ANG_LO.wav,cremad,1001,angry,angry,DISGUSTED,disgusted,False,,142.20535808606843,46.687189075235615,76.24276858396652,238.29641422437868,0.016672033816576004,0.24630541871921183
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_ANG_MD.wav,cremad,1001,angry,angry,ANGRY,angry,True,,147.73226952551298,72.45258592409019,91.49434272255428,386.83270902258283,0.02125735580921173,0.36538461538461536
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_HAP_HI.wav,cremad,1001,happy,happy,HAPPY,happy,True,,214.26206619261646,38.169834864667564,145.7645635638686,293.8019591394946,0.06725567579269409,0.5028901734104047
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_HAP_LO.wav,cremad,1001,happy,happy,HAPPY,happy,True,,111.99412075114367,11.196195626601005,82.71267936448523,131.6890953918643,0.017724087461829185,0.25149700598802394
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_HAP_MD.wav,cremad,1001,happy,happy,HAPPY,happy,True,,147.8503822202836,21.42891952783832,125.57662397902156,193.5373258175253,0.026335077360272408,0.2331288343558282
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_NEU_XX.wav,cremad,1001,neutral,neutral,NEUTRAL,neutral,True,,121.90806885810872,43.35249524101502,76.73771082739079,235.11514074978967,0.012202679179608822,0.4012738853503185
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_SAD_HI.wav,cremad,1001,sad,sad,FEARFUL,fearful,False,,109.48235943118011,11.700329143562971,75.86632049300006,131.13443143070214,0.012363597750663757,0.36548223350253806
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_SAD_LO.wav,cremad,1001,sad,sad,FEARFUL,fearful,False,,133.13944599094822,56.500199036109294,74.97760454897083,236.97635511570812,0.009575380943715572,0.40106951871657753
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IEO_SAD_MD.wav,cremad,1001,sad,sad,HAPPY,happy,False,,167.50384877211172,62.3372265748494,88.74522598784247,257.61629416555667,0.01018319372087717,0.3764705882352941
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IOM_ANG_XX.wav,cremad,1001,angry,angry,NEUTRAL,neutral,False,,119.10134188186183,12.711362775186126,94.74816816969233,139.06225211130402,0.026759183034300804,0.34285714285714286
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IOM_HAP_XX.wav,cremad,1001,happy,happy,ANGRY,angry,False,,180.3710212140425,58.31736787922235,112.38724925756974,367.2284908473411,0.036947865039110184,0.41624365482233505
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IOM_NEU_XX.wav,cremad,1001,neutral,neutral,NEUTRAL,neutral,True,,110.31844573590587,14.371180164873604,78.86193111097381,146.78830598360395,0.02085484191775322,0.35390946502057613
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_IOM_SAD_XX.wav,cremad,1001,sad,sad,NEUTRAL,neutral,False,,118.2008402668603,39.07508106540358,76.25075241103376,241.67586485492586,0.015622604638338089,0.4421052631578947
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITH_ANG_XX.wav,cremad,1001,angry,angry,ANGRY,angry,True,,132.00867232596056,29.027707284760986,101.80308261157381,187.9129725174655,0.029151227325201035,0.16738197424892703
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITH_HAP_XX.wav,cremad,1001,happy,happy,HAPPY,happy,True,,177.38745314461684,51.85252046371834,109.2045823714569,390.93246357170153,0.037563666701316833,0.2839506172839506
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITH_NEU_XX.wav,cremad,1001,neutral,neutral,NEUTRAL,neutral,True,,119.667545746651,50.10220981446719,74.97829326693157,378.5690911003864,0.017469782382249832,0.29961089494163423
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITH_SAD_XX.wav,cremad,1001,sad,sad,SAD,sad,True,,173.1337134730336,57.99585475916934,76.10607921405457,249.90969223882107,0.009562887251377106,0.2017167381974249
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITS_ANG_XX.wav,cremad,1001,angry,angry,ANGRY,angry,True,,204.46022238603265,132.54080252899942,105.99997980982468,540.4511006905011,0.03777036815881729,0.35177865612648224
G:\SpeechProcessing\CREMA-D\AudioWAV\1001_ITS_HAP_XX.wav,cremad,1001,happy,happy,HAPPY,happy,True,,258.7792943997644,122.45947705080486,137.671618228724,599.9409211482543,0.043645378202199936,0.28110599078341014
