file_path,dataset,speaker_id,ground_truth_raw,ground_truth_4class,e2v_raw,e2v_4class,e2v_correct,e2v_conf_top,mean_f0,std_f0,min_f0,max_f0,energy,speech_rate,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F000.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,238.0601038,21.94827249,203.5896217,269.594151,0.007883769,0.204188482,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F001.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,187.7781661,18.69428554,159.6692332,220.483632,0.009273085,0.096296296,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F002.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,201.9965571,35.61735483,161.8342704,262.2218438,0.007845703,0.2,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F005.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,262.8778772,75.60537706,158.9841658,537.3794203,0.048791736,0.546365915,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F006.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,221.0138565,57.6453624,90.90528158,393.0560679,0.08218123,0.810457516,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F007.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,227.4610152,64.28965616,107.5417923,371.5532608,0.048366107,0.573476703,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F008.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,251.207003,68.50426536,143.6058185,394.8023935,0.067456506,0.650190114,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F009.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,248.3281241,52.19898884,107.8339508,358.641471,0.031496685,0.339901478,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F011.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,273.579534,73.96056485,138.2546665,520.8590182,0.064077355,0.644171779,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F012.wav,iemocap,Ses01F,angry,angry,ANGRY,angry,TRUE,,191.9884719,45.43975525,86.53249515,266.7216789,0.04910915,0.411764706,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F013.wav,iemocap,Ses01F,neutral,neutral,<UNK>,<unk>,FALSE,0.8752,339.9837456,117.9704023,159.3258984,593.0084905,0.036486931,0.364457831,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F014.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,261.6030735,57.44335702,135.3009267,379.3442247,0.036624704,0.531746032,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F015.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,287.9303943,48.56785664,174.990425,421.3108078,0.112362638,0.815498155,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M000.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,140.9697326,11.42519797,119.8156573,154.9301948,0.013849435,0.229965157,
